event_id,total_running_time,heart_rate_stop,avg_hr,avg_speed,avg_temp
350,493,119,134.3880699,12.08442408,25
351,493,110,162.3053333,12.159984,22
405,495,121,124.305033,11.00503162,23
483,495,149,142.6484065,12.67416286,9
772,495,151,159.2233989,12.89047388,0
411,496,137,126.723487,12.11841755,20
58,498,156,152.8408987,13.5253513,1
683,498,147,142.2087576,11.9734306,18
107,499,163,163.4945726,12.97775593,9
186,499,159,159.4518037,15.15766497,11
320,499,145,154.1055156,15.44344536,15
323,500,160,166.176,10.9683792,21
413,500,149,158.6134715,15.45156933,29
45,501,157,153.4091125,12.49329853,5
343,503,160,136.7149497,11.7593512,15
535,505,166,140.9521853,10.95394701,3
561,505,158,148.3965368,12.80891065,6
484,506,139,135.808958,11.43509726,5
812,506,132,138.2446853,12.01709112,16
21,507,144,134.9046653,12.52254888,24
585,508,170,138.4226295,11.67174989,15
347,509,137,149.8834356,13.43652831,25
400,509,117,124.564346,11.27125633,24
577,509,163,148.7532051,12.548362,9
477,513,138,142.5822864,11.69710101,5
152,514,153,158.2961918,14.13959281,24
239,514,110,143.7649805,13.2274198,
58,515,146,152.8408987,13.5253513,1
287,515,148,142.0402145,13.38914316,12
244,516,158,150.1240135,13.03189448,0
688,516,155,148.2147947,11.53261943,17
816,517,139,131.4234069,10.68595147,9
165,518,155,147.4274648,13.69418213,19
631,519,144,145.8332621,12.42157846,25
565,520,161,143.8994073,12.31715324,16
47,522,153,160.3270349,13.46869884,2
120,522,162,160.6370848,14.20895548,20
556,523,152,142.2152847,11.99152638,5
156,524,162,151.4870993,14.28048646,24
644,525,138,134.0286275,11.46109976,26
281,527,137,126.4245283,10.94288724,11
424,530,138,133.2035637,11.91873469,22
566,532,163,147.3796664,12.86458501,16
46,533,155,158.5007886,13.79728085,9
388,533,116,113.0173954,10.33265501,24
476,533,136,139.2009536,12.12095616,3
599,534,146,140.8831397,11.33928836,29
453,535,142,135.5776993,12.19491558,9
686,535,141,143.1550305,12.26827182,15
756,536,160,150.0225779,11.49022669,2
622,537,141,155.4139665,11.09991419,28
575,538,165,154.5339196,11.58307688,8
480,539,153,147.7496439,11.60891923,8
333,540,138,151.2302826,13.80920219,19
249,541,159,147.6396166,12.12632741,-1
558,541,136,142.004771,11.40661546,6
9,542,145,153.6259887,12.05757559,15
359,543,143,144.0622407,12.13536281,28
586,544,155,136.4125619,11.65649789,12
690,544,135,140.9237231,11.80258488,19
45,547,153,153.4091125,12.49329853,5
564,547,150,146.8555766,12.53359469,6
124,548,156,157.015691,13.43178576,18
378,548,136,132.073571,12.36014669,21
417,551,150,136.3214719,12.10536233,20
424,551,112,133.2035637,11.91873469,22
9,555,148,153.6259887,12.05757559,15
391,555,139,151.6929873,13.66343523,28
595,555,157,148.6330325,12.38963134,15
14,556,84,133.5092177,12.03967713,18
250,556,180,175.8231047,11.653187,0
618,556,129,135.9792403,11.02112814,23
70,557,157,154.745886,13.25632251,-1
327,557,129,142.4539326,12.76870674,14
314,558,152,153.1717352,13.88890948,25
570,558,146,136.3950348,11.05964758,15
648,558,115,124.3860252,10.98772784,22
576,559,153,147.4588071,11.56513179,14
299,561,158,153.7496635,12.55786018,15
637,561,137,140.8169811,11.06175849,34
268,562,169,164.63,13.720212,9
347,564,133,149.8834356,13.43652831,25
695,568,151,146.3031693,12.03821431,12
833,568,166,150.154239,12.60455975,20
449,569,171,147.0018645,12.62140087,15
582,569,143,141.53125,11.93411586,14
621,569,161,164.7966448,12.25613666,27
351,570,180,162.3053333,12.159984,22
483,570,155,142.6484065,12.67416286,9
449,572,133,147.0018645,12.62140087,15
611,574,129,139.5548545,11.06759033,31
497,575,111,162.7599289,14.98121181,1
584,575,137,135.7148453,11.9700973,19
484,576,162,135.808958,11.43509726,5
86,577,158,156.4048641,13.65217854,4
704,577,142,140.293653,12.06206525,20
299,579,163,153.7496635,12.55786018,15
13,580,151,143.8639944,12.11354875,17
497,580,165,162.7599289,14.98121181,1
779,581,167,134.8043947,10.76938526,-4
172,582,166,155.8322034,13.4239973,16
444,583,130,127.3329601,11.52190075,16
772,584,152,159.2233989,12.89047388,0
556,585,134,142.2152847,11.99152638,5
417,586,123,136.3214719,12.10536233,20
